temperature,label
8.73,cold
6.51,cold
7.15,cold
5.99,cold
4.94,cold
6.57,cold
3.52,cold
2.26,cold
7.76,cold
6.56,cold
8.45,cold
7.38,cold
7.37,cold
12.93,normal
15.32,normal
15.76,normal
17.52,normal
15.5,normal
12.33,normal
10.07,normal
10.34,normal
11.5,normal
13.28,normal
10.26,normal
12.46,normal
14.13,normal
14.72,normal
17.71,normal
18.39,normal
15.55,normal
17.63,normal
16.05,normal
17.54,normal
18.54,normal
20.86,normal
23.6,normal
23.95,normal
61.93,hot
61.35,hot
60.66,hot
59.06,hot
59.58,hot
59.43,hot
59.55,hot
64.48,hot
64.41,hot
62.07,hot
63.65,hot
61.83,hot
63.48,hot
62.18,hot
63.48,hot
61.03,hot
60.25,hot
58.48,hot
60.57,hot
61.62,hot
58.74,hot
61.12,hot
62.36,hot
64.79,hot
65.14,hot
62.71,hot
61.21,hot
58.95,hot
57.21,hot
57.5,hot
59.26,hot
58.78,hot
55.97,hot
61.72,hot
61.47,hot
62.95,hot
65.04,hot
64.36,hot
65.62,hot
69.15,hot
71.26,hot
71.36,hot
73.17,hot
71.96,hot
74.83,hot
74.84,hot
72.53,hot
68.15,hot
64.57,hot
78.19,hot
76.4,hot
75.73,hot
80.51,hot
84.2,hot
86.3,hot
85.04,hot
83.5,hot
86.82,hot
88.71,hot
91.24,hot
88.59,hot
-9.11,cold
-8.22,cold
-6.67,cold
-7.18,cold
-9.68,cold
-6.8,cold
-9.67,cold
-5.84,cold
-7.04,cold
-3.87,cold
-6.35,cold
-5.79,cold
-7.04,cold
-8.22,cold
-6.52,cold
-4.89,cold
-3.63,cold
-3.67,cold
-3.44,cold
-3.88,cold
-1.68,cold
0.93,cold
132.97,hot
132.43,hot
131.2,hot
127.62,hot
126.73,hot
125.33,hot
125.31,hot
126.54,hot
129.26,hot
130.38,hot
132.13,hot
134.44,hot
133.49,hot
129.42,hot
54.36,hot
55.01,hot
53.36,hot
54.74,hot
72.73,hot
73.18,hot
73.21,hot
76.11,hot
78.03,hot
82.41,hot
80.79,hot
79.27,hot
79.57,hot
81.47,hot
80.32,hot
77.68,hot
62.4,hot
64.76,hot
63.82,hot
63.59,hot
66.07,hot
66.08,hot
66.17,hot
64.03,hot
63.75,hot
60.68,hot
63.24,hot
65.6,hot
65.74,hot
67.03,hot
33.11,hot
29.65,normal
32.54,hot
31.57,hot
34.24,hot
34.21,hot
35.8,hot
38.05,hot
35.17,hot
32.97,hot
33.95,hot
19.81,normal
18.86,normal
15.99,normal
15.61,normal
16.64,normal
19.05,normal
20.75,normal
19.51,normal
24.26,normal
23.64,normal
25.34,normal
23.36,normal
26.41,normal
21.5,normal
19.38,normal
18.07,normal
20.18,normal
21.49,normal
20.61,normal
23.77,normal
19.94,normal
21.82,normal
20.9,normal
19.65,normal
14.64,normal
16.01,normal
16.48,normal
17.03,normal
21.12,normal
24.36,normal
24.92,normal
19.44,normal
17.16,normal
17.7,normal
16.5,normal
18.02,normal
14.48,normal
12.41,normal
12.75,normal
12.93,normal
12.69,normal
12.92,normal
14.01,normal
16.08,normal
15.58,normal
18.18,normal
15.02,normal
15.05,normal
13.28,normal
13.85,normal
14.87,normal
17.36,normal
15.18,normal
13.55,normal
12.85,normal
14.51,normal
17.08,normal
16.19,normal
18.96,normal
20.98,normal
21.32,normal
22.99,normal
126.98,hot
132.27,hot
133.23,hot
133.68,hot
136.87,hot
135.85,hot
135.96,hot
138.15,hot
136.13,hot
132.82,hot
132.15,hot
135.49,hot
130.1,hot
129.99,hot
129.45,hot
127.24,hot
127.27,hot
127.22,hot
127.15,hot
126.06,hot
120.76,hot
122.94,hot
120.12,hot
104.81,hot
95.56,hot
98.1,hot
97.05,hot
98.03,hot
99.45,hot
100.34,hot
84.95,hot
84.33,hot
84.98,hot
82.48,hot
81.07,hot
78.25,hot
74.09,hot
77.48,hot
77.4,hot
79.61,hot
80.23,hot
76.81,hot
76.85,hot
94.12,hot
94.51,hot
92.55,hot
93.06,hot
95.03,hot
91.35,hot
88.79,hot
89.16,hot
87.65,hot
85.7,hot
87.81,hot
76.58,hot
77.98,hot
83.1,hot
82.91,hot
82.84,hot
86.38,hot
87.64,hot
89.59,hot
