Model,Last Time (ms),Maximum Time (ms),RAM (bytes),Elapsed,Parameters,ONNX Size (KB),ST Size (KB),Max Abs Error
CNN1,2,2,6488,1m0s,175,3.22,4.85,2.65E-07
CNN2,7,7,7416,1m53s,357,4.92,8.13,3.79E-07
CNN3,83,84,19608,1m1s,2755,15.09,40.84,4.01E-07
GRU1,11,11,10616,1m0s,963,7.22,16.86,3.20E-07
GRU2,47,48,27816,1m3s,4323,20.42,62.78,2.72E-07
LSTM1,12,12,10744,1m24s,941,7.39,17.38,1.46E-07
LSTM2,52,52,29016,1m42s,4451,21.49,65.96,1.77E-07
MLP1,1,1,6136,1m0s,115,2.56,3.56,2.51E-07
MLP2,3,3,6992,1m2s,275,3.32,5.63,1.61E-07
MLP3,4,4,7472,1m0s,367,4.33,7.16,3.83E-07
MLP4,7,7,9048,1m14s,687,6.98,11.95,5.89E-07
MLP5,8,8,9416,1m3s,763,11.28,14.71,2.17E-06
MLP6,9,10,10424,1m0s,931,5.94,14.21,1.87E-07
MLP7,26,26,18344,1m2s,2523,14.16,36.36,5.45E-07
RESNET1,7,7,8856,1m0s,627,5.06,10.86,1.47E-07
RESNET2,48,48,27904,1m0s,4387,21.23,62.07,4.20E-07
